OBS,FOOD,TOTAL
2,561.08,835.94
3,617.24,876.04
4,591.24,951.47
6,290,473
7,362,601
8,379,683
10,566.68,832.3
11,643.28,939.8
12,773.04,1213.76
14,696.8,958.88
15,806,1129.54
16,1286.48,1213.76
18,442,539.64
19,353.6,457.6
20,468,562.64
22,505.96,736.76
23,853.84,1415.44
24,1058.8,2208.8
26,297.72,636
27,370.12,759.4
28,511.56,1078.84
30,408.5,499.75
31,716.78,1020.02
32,1063.16,1595.16
34,414.8,876.6
35,695.76,1230.92
36,916.96,1807.96
38,297.44,415.44
40,289.2,541.2
42,450.32,581.36
43,505.96,743.08
44,727.48,1057.68
46,255.84,420.16
47,310.96,541.32
48,463.32,901.16
50,403,639.08
51,476.84,750.88
52,600,945.8
54,595.52,829.4
55,680.16,984.36
56,806.52,1311.44
58,763.36,1492.4
60,332.8,505.44
61,399.36,621.91
62,494,801.32
64,438.36,555.88
65,490.88,713.44
66,628.68,838.76
68,384.8,535.08
69,433.68,596.44
70,578.24,924.56
72,323.96,487.76
73,456.56,692.64
74,509.6,997.88
76,308.36,507
77,415.48,654.16
78,498.16,933.92
80,334.36,433.68
81,413.4,587.6
82,456.04,896.48
84,373.36,454.48
85,412.36,585
86,486.72,800.8
88,346.84,502.44
89,466.92,713.52
90,558.52,906
92,406.6,517.8
93,491.6,695.8
94,848.72,1532.31
95,666.03,1056.08
97,242.32,387.32
98,242.32,387.32
99,242.32,411
100,607.16,832.76
101,375.96,615
103,515.62,887.47
104,673.68,1027.32
106,734.24,1006.44
107,253,726
108,317.02,494.42
109,392.64,750.64
110,573.04,987.64
111,366.7,788.1
112,566.2,831.8
113,763,1139.5
114,344.24,507.52
115,379.12,576.2
116,425.36,696.6
118,367.64,650.82
120,654.9,949.58
122,278.04,497.12
123,252.38,570.17
124,376.52,724.73
126,276.46,408.34
127,410.67,638.67
128,596.71,1225.73
130,223.75,715.37
132,562.31,810.87
133,549.72,906.6
134,841.72,1647.56
136,426.92,608.5
137,645.06,958.66
139,642.6,880.6
140,486.65,796.33
141,475,854.38
143,614.48,1167.37
145,391,523.8
147,410,650.78
149,410,377.06
150,570.67,851.54
151,641.48,1121.1
153,437.06,625.52
154,492.9,805.54
156,365.3,558.58
158,534.6,784.4
159,784.4,1284
160,1012.3,2051.1
162,935.48,1466.34
164,470.7,730
165,517.4,800.8
166,850.2,1245.7
168,742.58,1201
170,387.4,634.4
171,587.6,956.23
172,795.6,1148.6
174,1023.82,1778.82
175,1881.88,2822.54
177,551.82,922.36
179,1440.4,2303.6
181,309,420
182,473.2,562
183,565.6,689.6
185,841.36,1398.52
187,573,820.82
188,614.15,875.17
189,646.35,1392.45
191,749.28,1256.32
192,891.69,1365.48
193,1215.49,2020
194,659.55,1209.48
195,800.28,1135.04
196,983,1827.41
197,699.3,1024.16
198,623.52,892.4
199,1339,2432.4
200,830.96,1177.86
201,864.55,1222.6
203,1159.6,1519.58
205,370.26,687.66
207,603.12,953.12
208,603.12,953.12
209,603.12,953.12
211,522.6,949.04
212,704.68,1283.4
213,801.92,1511.48
215,776.62,1342.52
217,458.48,647.47
218,575.48,866.98
219,671.2,1167.2
220,754,1097.08
221,346.4,530.3
222,586.56,1142.16
223,669.76,1098
224,296.92,498.7
226,1011.46,1687
227,470.6,678.7
229,499.12,671.88
230,350.94,690.47
231,421.04,860.7
232,602.34,873.31
233,559.14,894.46
234,569.82,1048.65
235,508.88,926.88
236,567.84,839.04
238,581,829.5
239,636.7,1264
240,857.8,1937.98
242,454.33,698.83
243,544.92,920.42
244,885.32,1897.57
246,670,891.68
247,668.2,889.74
248,735.8,1251.48
250,325,544.6
251,592.05,1031.45
252,722.05,1512.95
254,744.12,830.44
255,798.2,975.04
256,918.32,1338
258,599.44,867.64
260,514.75,725.75
261,641,989
262,877,1525
264,551.2,671.2
265,703,923.4
267,364.52,472.32
268,373.72,590.76
269,458.12,940.92
270,,500
271,,1000
272,,2000
